sr=181.41 body=54.42 glow=400.00 pos=(-322.9,381.1) vis=1.000 fb=1280x720 ok=1
sr=161.98 body=48.59 glow=400.00 pos=(-218.7,378.8) vis=1.000 fb=1280x720 ok=1
sr=144.62 body=43.39 glow=400.00 pos=(-125.7,376.8) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-42.7,374.9) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-41.7,374.9) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-40.7,374.9) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-39.8,374.8) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-38.9,374.8) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-37.9,374.8) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-37.1,374.7) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-36.3,374.7) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-35.4,374.6) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-34.5,374.6) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-33.7,374.6) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-32.8,374.5) vis=1.000 fb=1280x720 ok=1
sr=129.13 body=38.74 glow=400.00 pos=(-32.0,374.5) vis=1.000 fb=1280x720 ok=1
sr=115.29 body=34.59 glow=400.00 pos=(40.8,372.9) vis=1.000 fb=1280x720 ok=1
sr=102.94 body=30.88 glow=400.00 pos=(105.9,371.5) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(117.0,371.2) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(117.9,371.1) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(118.8,371.1) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(119.6,371.0) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(120.3,371.0) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(121.2,370.9) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(122.1,370.9) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(123.1,370.8) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(124.0,370.7) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(124.9,370.7) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(125.8,370.6) vis=1.000 fb=1280x720 ok=1
sr=100.97 body=30.29 glow=400.00 pos=(126.6,370.6) vis=1.000 fb=1280x720 ok=1
